### EX1
Execução = 0
1000 0.00 ms
2000 2.20 ms
3000 4.80 ms
4000 8.20 ms
5000 13.20 ms
6000 18.40 ms
7000 24.00 ms
8000 31.40 ms
9000 39.20 ms
10000 50.40 ms

Execução = 1
1000 0.00 ms
2000 2.00 ms
3000 4.20 ms
4000 8.80 ms
5000 12.40 ms
6000 17.60 ms
7000 24.00 ms
8000 32.00 ms
9000 41.00 ms
10000 49.40 ms

Execução = 2
1000 0.00 ms
2000 2.00 ms
3000 4.20 ms
4000 7.80 ms
5000 12.40 ms
6000 17.40 ms
7000 24.40 ms
8000 31.20 ms
9000 39.60 ms
10000 49.40 ms

Execução = 3
1000 0.20 ms
2000 2.00 ms
3000 5.00 ms
4000 8.20 ms
5000 12.20 ms
6000 17.60 ms
7000 24.20 ms
8000 32.20 ms
9000 40.20 ms
10000 48.60 ms

Execução = 4
1000 0.20 ms
2000 2.20 ms
3000 4.80 ms
4000 8.20 ms
5000 12.00 ms
6000 17.40 ms
7000 25.60 ms
8000 31.40 ms
9000 40.60 ms
10000 49.00 ms

Execução = 5
1000 0.00 ms
2000 2.00 ms
3000 4.60 ms
4000 8.40 ms
5000 12.20 ms
6000 18.00 ms
7000 23.80 ms
8000 31.60 ms
9000 40.40 ms
10000 49.00 ms

Execução = 6
1000 0.00 ms
2000 2.00 ms
3000 4.20 ms
4000 7.60 ms
5000 13.40 ms
6000 18.20 ms
7000 25.60 ms
8000 32.00 ms
9000 39.80 ms
10000 48.80 ms

Execução = 7
1000 0.00 ms
2000 2.00 ms
3000 4.00 ms
4000 7.60 ms
5000 12.20 ms
6000 18.00 ms
7000 24.00 ms
8000 31.40 ms
9000 39.60 ms
10000 50.40 ms

Execução = 8
1000 0.00 ms
2000 2.20 ms
3000 4.40 ms
4000 7.80 ms
5000 12.20 ms
6000 17.20 ms
7000 23.80 ms
8000 31.20 ms
9000 39.00 ms
10000 50.40 ms

Execução = 9
1000 0.20 ms
2000 2.20 ms
3000 4.20 ms
4000 8.20 ms
5000 12.40 ms
6000 17.60 ms
7000 24.20 ms
8000 31.40 ms
9000 41.00 ms
10000 48.60 ms

