Execução = 0
1000 0.40 ms
2000 3.40 ms
3000 4.40 ms
4000 4.80 ms
5000 9.00 ms
6000 7.40 ms
7000 11.40 ms
8000 13.00 ms
9000 14.60 ms
10000 14.60 ms

Execução = 1
1000 1.00 ms
2000 1.40 ms
3000 2.20 ms
4000 3.20 ms
5000 4.40 ms
6000 6.20 ms
7000 9.20 ms
8000 10.20 ms
9000 34.80 ms
10000 17.40 ms

Execução = 2
1000 1.60 ms
2000 5.00 ms
3000 3.00 ms
4000 9.40 ms
5000 5.00 ms
6000 8.20 ms
7000 9.40 ms
8000 10.00 ms
9000 29.80 ms
10000 26.80 ms

Execução = 3
1000 1.00 ms
2000 2.20 ms
3000 15.80 ms
4000 15.00 ms
5000 16.00 ms
6000 9.40 ms
7000 16.00 ms
8000 30.00 ms
9000 14.20 ms
10000 16.60 ms

Execução = 4
1000 0.60 ms
2000 2.80 ms
3000 2.80 ms
4000 8.00 ms
5000 5.20 ms
6000 6.40 ms
7000 9.80 ms
8000 15.80 ms
9000 49.80 ms
10000 14.40 ms

Execução = 5
1000 0.60 ms
2000 1.80 ms
3000 5.60 ms
4000 3.60 ms
5000 6.20 ms
6000 7.80 ms
7000 11.00 ms
8000 15.40 ms
9000 26.20 ms
10000 28.40 ms

Execução = 6
1000 2.80 ms
2000 7.40 ms
3000 9.40 ms
4000 18.20 ms
5000 29.40 ms
6000 26.60 ms
7000 15.20 ms
8000 26.40 ms
9000 25.20 ms
10000 74.80 ms

Execução = 7
1000 1.00 ms
2000 8.60 ms
3000 7.00 ms
4000 12.40 ms
5000 44.20 ms
6000 67.60 ms
7000 47.80 ms
8000 33.20 ms
9000 57.00 ms
10000 32.00 ms

Execução = 8
1000 0.40 ms
2000 3.60 ms
3000 2.80 ms
4000 2.60 ms
5000 3.60 ms
6000 7.20 ms
7000 8.40 ms
8000 11.00 ms
9000 17.40 ms
10000 20.00 ms

Execução = 9
1000 1.00 ms
2000 2.60 ms
3000 2.80 ms
4000 4.00 ms
5000 7.00 ms
6000 6.40 ms
7000 6.60 ms
8000 10.40 ms
9000 16.80 ms
10000 19.00 ms

