Execução = 0
1000 0.40 ms
2000 3.80 ms
3000 3.00 ms
4000 3.20 ms
5000 4.20 ms
6000 80.60 ms
7000 18.20 ms
8000 5.40 ms
9000 32.20 ms
10000 8.20 ms

Execução = 1
1000 0.40 ms
2000 1.20 ms
3000 1.40 ms
4000 5.80 ms
5000 3.60 ms
6000 8.20 ms
7000 5.60 ms
8000 6.00 ms
9000 5.60 ms
10000 7.40 ms

Execução = 2
1000 0.60 ms
2000 1.60 ms
3000 2.60 ms
4000 2.80 ms
5000 3.80 ms
6000 5.00 ms
7000 5.80 ms
8000 6.40 ms
9000 6.60 ms
10000 16.20 ms

Execução = 3
1000 3.40 ms
2000 1.40 ms
3000 2.80 ms
4000 2.20 ms
5000 3.60 ms
6000 3.60 ms
7000 4.40 ms
8000 5.60 ms
9000 7.00 ms
10000 7.60 ms

Execução = 4
1000 0.40 ms
2000 1.40 ms
3000 1.80 ms
4000 2.40 ms
5000 3.00 ms
6000 4.80 ms
7000 5.00 ms
8000 5.60 ms
9000 7.40 ms
10000 14.20 ms

Execução = 5
1000 1.00 ms
2000 1.40 ms
3000 2.60 ms
4000 8.00 ms
5000 4.00 ms
6000 4.40 ms
7000 5.40 ms
8000 5.40 ms
9000 7.80 ms
10000 7.20 ms

Execução = 6
1000 1.00 ms
2000 1.80 ms
3000 3.40 ms
4000 4.40 ms
5000 4.40 ms
6000 4.20 ms
7000 4.80 ms
8000 5.20 ms
9000 6.60 ms
10000 10.20 ms

Execução = 7
1000 0.60 ms
2000 1.80 ms
3000 2.60 ms
4000 2.40 ms
5000 3.40 ms
6000 4.80 ms
7000 5.40 ms
8000 5.40 ms
9000 6.40 ms
10000 6.80 ms

Execução = 8
1000 2.00 ms
2000 2.00 ms
3000 2.40 ms
4000 3.60 ms
5000 3.00 ms
6000 3.80 ms
7000 5.60 ms
8000 6.40 ms
9000 7.40 ms
10000 7.20 ms

Execução = 9
1000 0.20 ms
2000 1.40 ms
3000 3.40 ms
4000 3.20 ms
5000 2.60 ms
6000 4.80 ms
7000 7.20 ms
8000 5.20 ms
9000 6.00 ms
10000 9.00 ms

