### EX 1
Execução = 0
1000 0.20 ms
2000 0.00 ms
3000 1.00 ms
4000 1.00 ms
5000 2.00 ms
6000 4.00 ms
7000 3.20 ms
8000 3.00 ms
9000 3.00 ms
10000 4.00 ms

Execução = 1
1000 1.40 ms
2000 0.80 ms
3000 1.60 ms
4000 1.20 ms
5000 2.20 ms
6000 3.00 ms
7000 2.40 ms
8000 3.00 ms
9000 10.00 ms
10000 4.60 ms

Execução = 2
1000 0.40 ms
2000 1.20 ms
3000 1.00 ms
4000 1.00 ms
5000 2.40 ms
6000 2.00 ms
7000 2.40 ms
8000 3.00 ms
9000 3.00 ms
10000 4.00 ms

Execução = 3
1000 0.20 ms
2000 0.40 ms
3000 1.00 ms
4000 1.20 ms
5000 2.20 ms
6000 6.20 ms
7000 78.20 ms
8000 23.40 ms
9000 3.00 ms
10000 4.00 ms

Execução = 4
1000 0.20 ms
2000 0.40 ms
3000 23.20 ms
4000 122.80 ms
5000 4.40 ms
6000 121.20 ms
7000 3.40 ms
8000 7.20 ms
9000 3.40 ms
10000 4.20 ms

Execução = 5
1000 0.40 ms
2000 0.80 ms
3000 1.00 ms
4000 1.20 ms
5000 2.00 ms
6000 2.00 ms
7000 2.80 ms
8000 4.80 ms
9000 3.20 ms
10000 5.00 ms

Execução = 6
1000 1.40 ms
2000 0.40 ms
3000 1.00 ms
4000 1.40 ms
5000 2.00 ms
6000 3.60 ms
7000 2.40 ms
8000 3.20 ms
9000 3.20 ms
10000 4.00 ms

Execução = 7
1000 0.80 ms
2000 0.20 ms
3000 1.00 ms
4000 1.20 ms
5000 2.60 ms
6000 2.00 ms
7000 2.80 ms
8000 3.00 ms
9000 85.60 ms
10000 4.40 ms

Execução = 8
1000 0.20 ms
2000 2.00 ms
3000 24.20 ms
4000 57.80 ms
5000 236.60 ms
6000 139.80 ms
7000 2.80 ms
8000 4.20 ms
9000 3.80 ms
10000 4.40 ms

Execução = 9
1000 0.60 ms
2000 4.80 ms
3000 2.80 ms
4000 1.00 ms
5000 3.60 ms
6000 2.20 ms
7000 8.20 ms
8000 3.00 ms
9000 3.20 ms
10000 4.00 ms

